Actor_ID,Settlement_ID,Sector_ID
2,1,1
1,1,1
56,1,1
2,1,2
56,1,2
2,1,3
56,1,3
2,1,4
56,1,4
40,1,5
2,1,5
51,1,5
1,1,5
56,1,5
55,1,5
14,1,5
40,1,6
2,1,6
30,1,6
20,1,6
46,1,7
6,1,7
2,1,7
30,1,7
20,1,7
46,1,8
6,1,8
2,1,9
56,1,9
2,1,10
12,1,10
8,1,10
2,2,1
1,2,1
56,2,1
2,2,2
56,2,2
2,2,3
56,2,3
4,2,4
2,2,4
56,2,4
46,2,5
4,2,5
2,2,5
5,2,5
31,2,5
51,2,5
1,2,5
56,2,5
14,2,5
2,2,6
5,2,6
30,2,6
14,2,6
4,2,7
2,2,7
30,2,7
20,2,7
46,2,8
6,2,8
36,2,8
2,2,9
51,2,9
56,2,9
2,2,10
12,2,10
8,2,10
46,2,11
2,2,11
51,2,11
34,2,11
22,2,11
2,3,1
21,3,1
2,3,2
21,3,2
2,3,3
21,3,3
46,3,4
2,3,4
21,3,4
46,3,5
2,3,5
5,3,5
31,3,5
51,3,5
1,3,5
25,3,5
21,3,5
2,3,6
5,3,6
30,3,6
25,3,6
14,3,6
4,3,7
2,3,7
30,3,7
20,3,7
14,3,7
46,3,8
6,3,8
2,3,9
51,3,9
34,3,9
56,3,9
2,3,10
12,3,10
8,3,10
2,3,11
51,3,11
34,3,11
38,3,11
38,3,13
2,4,1
21,4,1
2,4,2
21,4,2
2,4,3
21,4,3
2,4,4
21,4,4
2,4,5
5,4,5
31,4,5
51,4,5
1,4,5
25,4,5
21,4,5
2,4,6
5,4,6
30,4,6
25,4,6
14,4,6
4,4,7
2,4,7
30,4,7
20,4,7
14,4,7
46,4,8
6,4,8
2,4,9
51,4,9
34,4,9
56,4,9
2,4,10
12,4,10
8,4,10
2,4,11
51,4,11
34,4,11
38,4,11
50,4,13
21,4,13
56,5,1
56,5,2
56,5,3
56,5,4
42,5,5
31,5,5
34,5,5
1,5,5
56,5,5
2,5,6
5,5,6
30,5,6
25,5,6
14,5,6
4,5,7
2,5,7
30,5,7
20,5,7
14,5,7
46,5,8
6,5,8
2,5,9
51,5,9
34,5,9
56,5,9
2,5,10
12,5,10
34,5,11
2,5,12
1,5,12
56,5,12
56,5,13
50,5,13
42,5,14
2,5,14
31,5,14
34,5,14
1,5,14
30,5,14
56,5,14
56,6,1
56,6,2
56,6,3
56,6,4
42,6,5
1,6,5
56,6,5
25,6,5
14,6,5
2,6,6
5,6,6
30,6,6
25,6,6
14,6,6
4,6,7
2,6,7
30,6,7
20,6,7
14,6,7
46,6,8
6,6,8
56,6,9
21,6,9
2,6,10
12,6,10
38,6,11
2,6,12
1,6,12
56,6,12
38,6,13
56,6,13
18,6,13
42,6,14
2,6,14
31,6,14
34,6,14
1,6,14
30,6,14
56,6,14
56,7,1
56,7,2
56,7,3
56,7,4
21,7,4
42,7,5
31,7,5
1,7,5
56,7,5
21,7,5
2,7,6
5,7,6
30,7,6
25,7,6
14,7,6
4,7,7
2,7,7
30,7,7
20,7,7
14,7,7
46,7,8
6,7,8
56,7,9
21,7,9
2,7,10
12,7,10
31,7,11
38,7,11
22,7,11
2,7,12
1,7,12
56,7,12
21,7,12
56,7,13
21,7,13
42,7,14
2,7,14
31,7,14
1,7,14
30,7,14
56,7,14
21,7,14
2,8,1
8,8,1
2,8,2
8,8,2
2,8,3
8,8,3
2,8,4
8,8,4
2,8,5
8,8,5
6,8,7
2,8,7
8,8,7
6,8,8
2,8,8
41,8,8
2,8,9
8,8,9
2,8,10
12,8,10
2,8,11
51,8,11
8,8,11
2,8,12
2,8,13
15,8,13
8,8,13
2,8,14
15,8,14
14,8,14
8,8,14
14,9,5
12,9,10
12,10,10
2,11,1
1,11,1
21,11,1
2,11,2
21,11,2
2,11,3
21,11,3
2,11,4
21,11,4
2,11,5
1,11,5
21,11,5
6,11,8
2,11,8
21,11,8
46,11,9
2,11,9
21,11,9
2,11,10
12,11,10
8,11,10
63,11,11
2,12,1
1,12,1
21,12,1
2,12,2
21,12,2
2,12,3
21,12,3
2,12,4
21,12,4
